"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"54",NA,NA,"NH Black","HSG/GED",0.0581803982819211,0.0314449205720852,0.643302638127538,596,3.1850863551587e-54,2.12339090343914e-53
"55",NA,NA,"NH Black","Some college/TS",0.0604256149941429,0.0542362870905198,0.114628688501182,619,0.00567598384956379,0.00597471984164609
"56",NA,NA,"NH White","<HSG",0.0623779773525966,0.0715334167439612,-0.146764938277618,639,0.000323593496110796,0.000431457994814395
"57",NA,NA,"NH White",">=College grad",0.177860210855135,0.167256763147528,0.074282689131586,1822,0.00403209572259779,0.00448010635844199
"58",NA,NA,"NH White","HSG/GED",0.159996095275283,0.123946035442775,0.297324289676254,1639,1.69928379801473e-28,4.24820949503683e-28
"59",NA,NA,"NH White","Some college/TS",0.223545490042952,0.207079501115834,0.0974970508824233,2290,3.9086278072661e-05,6.51437967877683e-05
"60",NA,NA,"Other","<HSG",0.0173760249902382,0.0222436688347651,-0.251932069559262,178,0.000835730854745296,0.00104466356843162
"61",NA,NA,"Other",">=College grad",0.0422686450605232,0.0296378957790948,0.368093743697047,433,4.7614476816647e-14,9.52289536332941e-14
"62",NA,NA,"Other","HSG/GED",0.0278211636079656,0.0145665777659629,0.660609092908516,285,4.20934565470843e-29,1.40311521823614e-28
"63",NA,NA,"Other","Some college/TS",0.0265521280749707,0.0333255316464353,-0.234196399681901,272,0.000133691208919183,0.000190987441313119
"64",NA,"18-44",NA,"<HSG",0.000195236235845373,0.0309648760350479,-5.0976576835795,2,1.47848906863347e-135,4.43546720590041e-135
"65",NA,"18-44",NA,">=College grad",0.000780944943381492,0.0204722428501392,-3.28622404187414,8,5.48631900049255e-45,9.14386500082091e-45
"66",NA,"18-44",NA,"HSG/GED",0.00107379929714955,0.0331088566483375,-3.46119269972906,11,2.14775919382695e-73,4.60234112962917e-73
"67",NA,"18-44",NA,"Some college/TS",0.000488090589613432,0.061883365744045,-4.90589845600184,5,1.1427969746837e-146,4.28548865506388e-146
"68",NA,"45-64",NA,"<HSG",0.0851229988285826,0.0883991612704999,-0.0413526399928394,872,0.242773201715822,0.260114144695523
"69",NA,"45-64",NA,">=College grad",0.17951971885982,0.123971193475093,0.435744925386182,1839,2.92835462644484e-65,5.49066492458408e-65
